occupation,income,capital_gain
adm-clerical,<=50k,0.0
adm-clerical,>50k,0.0
armed-forces,<=50k,0.0
armed-forces,>50k,0.0
craft-repair,<=50k,0.0
craft-repair,>50k,0.0
exec-managerial,<=50k,0.0
exec-managerial,>50k,0.0
farming-fishing,<=50k,0.0
farming-fishing,>50k,0.0
handlers-cleaners,<=50k,0.0
handlers-cleaners,>50k,0.0
machine-op-inspct,<=50k,0.0
machine-op-inspct,>50k,0.0
other-service,<=50k,0.0
other-service,>50k,0.0
priv-house-serv,<=50k,0.0
priv-house-serv,>50k,0.0
prof-specialty,<=50k,0.0
prof-specialty,>50k,0.0
protective-serv,<=50k,0.0
protective-serv,>50k,0.0
sales,<=50k,0.0
sales,>50k,0.0
tech-support,<=50k,0.0
tech-support,>50k,0.0
transport-moving,<=50k,0.0
transport-moving,>50k,0.0
